text,label
Thích cái cách HTH quyết liệt và làm tới cùng. Rất tự tin vào bản thân! Mình thích,2
"nhờ coi chung kết mà tui phải coi từ tập 1 đến hiện nay, phải công nhận nhạc hay, ngoài những trai đẹp trai ra A TÚ ATUS vừa hài vừa duyên, khoái coi ổng dã man",2
Bài mình cảm nhận khong hay nhất lại là nhất,0
Nhìn trailer tập sau hot quá 🥵,2
"chương trình gì mà hay, mad mắc cười dữ vậy trời, tui mê tất cả các anh, đặc biệt là MC TRẤN THÀNH ❤❤❤❤❤",2
"Negav nhìn cưng ghê, dth, hát hay xỉu ❤❤",2
"ơ CĐATRĐ hay thế mà thua ngáo ngơ à, khán giả vote thế nào z",0
Sao tus voi ko bị loại đi nhỉ thêm phần mất vui khi có thằng sĩ này,0
"Kim phút kim giờ demo cuốn thật sự mà bên ATSH làm lại thất vọng tràn trề ,tức qa",0
Tự nhiên có Tăng Nhật Tuệ trong này nữa :))) Chương trình lõm dữ zzz =))))),0
Ai là quán quân thì cũng bị toxic thôi ... 😂😂😂,1
"Team Atus quá đỉnh. Một tiết mục quá xuất sắc, rất cảm động. Lấy bao nước mắt của khán giả. Và thật nhiều nước mắt của tui. Cảm ơn team Atus",2
Ngưỡng mộ Captain quá à,2
Mê anh trai nước Việt lắm mà chủ đề khó viral,1
Tại sao vũ thịnh k được vào tiếp .Quá bất công .Đã mời ban giám khảo chấm thì để điểm của ban giam khảo xét chứ ai lại để cho khán giả bình chọn v trời,0
Bảo Anh sáng sân khấu quá lu mờ xug quanh. Bài hát team dương hay nhưng mà k làm nổi bật thành viên nhiều ấy.,0
I love you Wean Lê ❤❤❤,2
"Tập này đấu giá các bài hát thấy ok hơn tập vừa rồi là cho cácc anh trai chọn bài mình thích,sau mà diễn ra lshow2 có mấy người mà hay đi chê bài của đội khác để nâng đội có người mình thích lên bớt nói lại vì có chê bài nào thì cũng là bài mà một trong số anh trai từng dành giật với nhau😇",1
T đã khóc rất nhiều vì cậu bé Tage,2
HIEUTHUHAI ra album liền đi e sẽ cày hết mk,2
"Kim phút kim giờ ngắn quá vậy, tui chưa đọng dc ji luôn, chưa đã ở vòng này mấy anh ơiiiiiiiij",0
K biết s chứ mấy phần a trai collab thêm vs khách mời mình thấy cứ như nào ấy nhờ. Riêng mình thấy gọi là phần thi cá nhân kêu gọi vote riêng thì chỉ 1 mình mình diễn thôi chứ s lại thêm 1 người khác vào bài hát mình nhỉ? Thế thì n đâu có all in hết công suất cá nhân đâu hic,0
Tiếc cho Rhyder quá! Top 1 liên tục! Hành trình của một quán quân nhưng kết quả kém may mắn!,2
"Tage làm tôi rất sợ ánh mắt của cậu ấy, như một con hổ và dáng đi hiếm ai có.",2
"Nghỉ xem , dont care ko có j nổi trội . 10/10 hay thế mà top6",0
Huhu ông Quân cưng quá à😭😭😭😭😭,2
Là chương trình chấm hay khán giả chấm mà ngáo ngơ lại top 4🙂🙂🙂,1
Thương Quân quá à,2
cố lên nha quang hùng🎉,2
Tôi không phục kết quả này. Fan cá nhân của một số anh trai khâ đông nên chắc phần nào đã ảnh hưởng đến kết quả.tui thấy tiếc cho mấy anh trai bị loại quá.giỏi vậy mà trời 😢😢,0
Phần múa của Hùng Huỳnh và Đức Phúc đẹp nha,2
Team HIEUTHUHAI ko tóp 1 rồi cũng tóp 2 thôi. 💪,1
Nay team HTH thua toàn tập 😂😂😂,0
❤❤❤tui mê ct anh trai say hi qúa di...mê mê ct tųyêt voi diñh diñh....xem cuôń mõi giây,2
"Thần Khang cho loại luôn cho rồi. Hát diễn thì cũng có hây đó, còn lại thì lời nói biểu cảm khuôn mặt và cữ chỉ như dô côn chứ k phải ca sĩ",0
mong là có slot cho 1 anh đc cứu vào vòng sau hoặc 2 anh cũng đc :(((( chứ tới giờ vẫn tiếc PAD với Lou vãiiii,1
Negav mãi iu nè❤,2
Trận này HTH gom luôn 2 bài mà đội chốt ! Tính toán rất hay,2
Huhu ban đầu ko thích và còn ko biết miseo nữa giờ thấy miseo giỏi tài năng quá đúng là đẳng cấp quán quân The Voice. Giọng rất là sang luôn,2
❤ Anh Tú Atus ❤❤❤,2
"ủa tính ra vòng cuối của đội hth vs đội vụ thịnh, đội hth cũng có thể dữ cho đội mình 999 điểm nếu ghi số 0 mà 😭",1
Atu tút cố lên 🎉,2
Tội QAP dữ v tr mà cái kết cũng..,0
thực sự mình thấy bài YOU và THI SĨ rất hay một bài năng động vui tươi còn bài còn lại thì xúc động cùng giọng hát rất hay . Sao cả hai chỉ đứng thứ ba vậy 😭😭😭,2
Hơi phê bình vì tập này xuất hiện nhiều qc trà boncha nhé,0
Chấp niệm quá chắc xem lại tập 1 lúc mọi ng mới đến quá😢,1
"nói thật lúc nghe 10/10 hạng 6 mình bị sock vì 10/10 là bài mình tua lại nhìu nhất đoạn dance và cả tổng thể rất ổn lun, và thêm vào đó mình dành 1 lời khen lớn cho no far no start rất hay",2
"Xịt keo hùng Huỳnh vs pháp kiều mà 17,18 trương trình cố tình sắp đặt nha,như em thấy nhìu người còn ko bật phá trong trương trình lại hạng cao",0
Tui xem ct vì ATus nha..tuy nhiên thjk cả 31 a trai cả MC ạ hj,2
"Trong 4 bài Ngân Nga top 4, nhìn rối mắt. Xin đừng ném đá",0
Thương a tuts quá 😂😂,2
"hiếu thứ hai ko thế ko thích dc , tính quá hay. thẳng thắn",2
Team Hieuthuhai thắng quá xứng đáng luôn 🥹,2
đéo tin team quân ap hạng 5 ctrinh lỏ v,0
"2Khangggggg, em ở đây để nói nhạc HURRYKNG làm 10 điểm không có nhưng",2
mình thật sự sốc khi bt Catch me if you can lại hạng cuối trong khi hit drama lại hạng 2 ( bài đó thật sự là mình thấy hong hay như kiểu là isac có nhìu fan nên đc vote í YKR)Nên là mong mọi ng vote ở trường quay thật sự là công tâm,0
Captain dễ thương qué,2
"Lóiii dồiii, jsol rap cần học nhiều e nha",0
Yêu cầu chương trình cho em một bịch khăn giấy ạ 😢,1
"Qua bài WALK t respect GERNANG, PHÁP KIỀU VS A XÁI vch Kiểu mang 1 bài đặc Hiphop lên sân khấu dù cho thsu mà nói thì hiphop kphai là thể loại mà ai cũng ngấm đc Nói chung ai ko nghe đc thì lặng lẽ bỏ qua mà nghe bài khác, còn mấy khứa mê hiphop vs rap như t thấy nó hay điên lên đc, chiến đét mà ai cũng có spotlight. Một lần nữa thắng thì cũng thắng rồi, ko phục nữa thì thôi =)))) HOAN HỈ, KO TOXIC NHA MN, CẢM ƠNNN",2
Anh Isac đeo mắt kinh chơi là nguy hiẻm lắm ạ!,0
mê team Nề Gíp quée,2
Negav nhìn cưng quá,2
Anh Trấn Thành xịn quá. Nói gì cũng hay cũng xịn,2
Team Gin 🎉❤,2
Team HTH sôi động á mà nghe không có đọng,0
Đức Phúc lần này thể hiện quá tuyệt vời luôn ạ. Vote cho ĐP 1 vé nhaa.,2
Lúc đầu rất hóng ctr nhưng sau vài tập k muốn xem nữa vì sự hơn thua và xấu xí của nhiều fan.,0
Rhyder say caption quá rồi hả mà đi loạng choạng như uống rượu í,0
HURRYKNG hát hay quá đi❤,2
Hth và atusss bùng nổ nha,2
đoạn đầu Kiều hát mình cứ tưởng tượng đến giai điệu bài k thể say :))) đã hơn 1 năm trôi qua mà mẹ vẫn cứ thế tiếc đôi ta,1
"ong song l gia rui,còn bai dat mặc do xi tin,ko thich luc ổng ko can ai cứu, cứu thi cho nguoi khac,cuoi cung ổng duoc vé vớt, vay sao ko nhuong di,lam ko thich ổng luon",0
Thiệc hết muốn coi,0
Thật sự ko thích anh tú của diệu nhi tí nào luôn,0
Ủng hộ quang hùng và dương domic nha mọi người,2
Hải Đăng Doo dễ thương xỉuuuuuuu,2
"đảo hoang mà nhìu người quá,chả thấy hoang tí nào😢",0
Quang hùng đỉnh v,2
Wenan lê: anh muốn lâu nước mắt cho Vy 😂,2
Hãy tin tưởng em 🥰kết Đoàn kết Đoàn kết 😂😂😂😂,2
Sợ câu Captain nói 🥴,2
"Ê sao mình thấy cha VŨ Thịnh Làm LỐ quá vậy . không nói thì ai cũng biết hai người này ở chương trình tỏ tình ra mà , nhất thiết phải gào lên vậyy k? làm quá lên càng ngày càng k ưa nổi",0
Dù coi sờ poi hết r bt Hieuthuhai sẽ an toàn nhm k ngờ NN top 4=))☺️,2
S hk thích GTK chút nào vậy ta . Hát hk hay hk có j nổi bật,0
Sao nghe tâm sự của Jsol nghe thương quá.mọi người ủng hộ cho bạn Ấy nha,2
Vẫn là negav nha.quá đỉnh,2
Tiếc Cho Erik quá tập trung vào phần trình diễn mà phần nhạc chưa bùng nổ lắm huhu,0
"Qua cái show này t mới thấy bon ctrai chơi game nó vô tư nhỉ,k có hình tượng luôn.còn mấy chị chơi cứ phải là drama thôi",1
KPKG phải cảm nhận được mới thấy hay nha. “ Quá Hay”,2
Trả lại 30 anh trai cho tôi😭,0
Tuần này team ryder thắng bài hát mk thấy hơi ấy,1
Cứ để anh ta rời đi quá hay luôn ❤❤❤ Dương Domic làm cho mình khá bất ngờ đến đoạn rap chời ơi nghe ik nghe lại quá đỉnh r,2
Ôi đang xem hay lại hết tiếc ghê,0
"thật sự khán giả bình chọn chứ kiểu gì ấy, hầu như mấy bạn đều bình chọn cho idol người mình yêu thích nhất thôi còn lại có như thế nào thì mấy bạn cx ko quan tâm lun á =))))",0
Hạng 1 và 2 không nói nhưng Nỗi Đau Ngây Dại mà hạng 3 á? Mình thấy Sóng Vỗ Vỡ Bờ với Hút còn hay hơn Nỗi Đau Ngây Dại :(,0
"Thật sự rất thương ali luôn á, ổng cố gắng quá chừng",2
team Negav đỉnh dị bây,2
lụy quá đi cày lại nhiều lần rồi mà h vẫn cày tiếp,1
Thích cái cách ảnh viết lời bài có babyboo,2
Ko Bt cs ai như T ko là cày lại mấy tập atsh 😢,1
tập này negav như con nít z á,0
10/10 quá hayy,2
"Tui lại mê Dương Domic,kaka",2
Team dương nhạc hay quá,2
Nicky atrai luỵ ctrinh kkk,2
❤❤❤ thích 10/10 nhất,2
Xếp hạng theo điểm tổng cá nhân cả đội. Phải điều nhau chứ 1 người ko gánh đc. Tiếc team HIEUTHUHAI,1
Ồn thật sự,0
"nghe tới bài tú voi phải tua lại nghe lần 2. mn tập trung nghe lời bài hát mới cảm nhận được, tnhien xúc động theo. Giọng tú quá hợp vs dòng nhạc này, giọng cao, luyến nghe phải nổi da gà, nghe đi nghe lại mấy lần dù sân khấu ko quá cầu kỳ nhưng lại có dấu ấn nhấn.",2
"ReGret hay cực ai cũng có thần thái riêng , khúc mọi người đẩy nốt cao lên nghe cực kì hay❤❤",2
Team atus captain ❤❤❤,2
Bài của nhóm HTH chỉ ấn tượng khúc nhảy. Còn lời bài hát hay giai điệu nghe xong k đọng lại gì😂.nhưg khúc tháo nịt nhảy ấn tượng😂.gái trường quay vote thì chắc là top 1 rồi 😂😂,1
trời ơi khi a Trấn Thành bảo a ATUS sẽ dừng lại nước mắt tôi chảy. Tim tôi đau. Mong chương trình đừng loại a ATUS mà 😢😢😢,2
Tage bi loai buồn ghê,0
Đội ALi chơi trò đập bóng mắc cười quá hâhhhaha,2
cái cách bình chọn của chương trình quá chán,0
Ung hô gin tuân kiêt nhe may ban,2
Tuy có Tlinh nhưng ít xuất hiện quá. Tiết mục bí mật dữ???,0
Mới đu anh HIEUTHUHAI xong giờ cài w cho anh 😅😅,2
Tôi tao chết cười với lúc chơi game của nhóm Gn :)))),2
"Luôn thấy Tage quá thay đổi, đặt team lên trước mà vẫn cho ra những lời rap cháy cháy cháyyyyyyy",2
No far No Star nhiều cảm xúc thật xứng đáng top 1.các bạn trẻ cháy hết mình vì đam mê xúc động thật mặc dù trong nhóm ko biết ai ngoài Sl,2
Mê team HurryKng quá,2
Coi vì Đức phúc 😊❤❤❤,2
"Ngáo Ngơ mãi đỉnh ,team HIEUTHUHAI",2
Tú voi đỉnh,2
Anh Tú voi quá đỉnh ! Nghe mà khóc quad trời khóc 😢,2
Chương trình đáng xem nhất trong năm ! Đã dã man luôn đó ❤️❤️❤️,2
Bài của đội Quân AP hay v mà hạng 5...kh hiểu,1
Không có đội trưởng nào chọn Hùng Huỳnh của tui hết. Nhưng về với Q.Anh thù cũng đáng đón chờ phần trình diễn🎉🎉🎉,1
atus bớt đẹp trai lại dc kh trời,0
"ct nên mời gducky, mck với double T, nghĩ sao mời tage như thằng ngáo",0
T không tin 10/10 đứng hạng 6 .. .1 trình diễn hay như z... Thật tiết.. Các anh cô gắng len...❤❤❤❤ đừng nản,0
Nên để ý hơn khâu edit ạ. Hải Đăng Doo mà gt thành Anh Trai Quang Trung🙄,0
"Ủa , công bằng , catch me if you can top 4 , nicky bị loại 😢",0
"Fan team Gerdnang, Pháp Kiều, a Xái nhưng phải nói “ Bao lời con chưa nói” t.o.p 1 trending rùi. Hay mà cảm xúc quá",2
Đội Dương Domic hay nhất không cần bàn cải.. Bảo Anh đẹp ma mị,2
Hóng rhyder quá❤,2
"Vừa coi công bố dàn ATSH mùa 2 thì phải chạy qua qua đây coi, mãi yêu ATSH mùa 1 LỤY QUÁ CẢ NHÀ ƠI 🫂🤍😭",2
hát quá đỉn gòi Hurrykng oii,2
"Bài team quân ap hay quá, cuốn phần hát lẫn phần nhìn. Xứng đáng.",2
Bài để lại ấn tượng nhất là Song Luân . Nhưng mình Coi chương trình này vì anh Tú Atus . Số 10 cũng là số yêu thích của mình,2
hạng nhạc lạ vậyyyyyy😭😭😭,0
Ghét pháp kiều z,0
"Thấy công bố giải Best Hit là ấn tượng nhất. Còn top 5 ng k thấy vui trong lòng: HTH thiếu ae Gerdnang, Hùng thiếu An, Rhyder thiếu CAP, a Xái buồn, Đức Phúc lạc quẻ",1
"Đề nghị chương trình thay hết dàn bình luận viên,mấy đứa còn trẻ người non dạ,bài hay thì vote thấp điểm thấy mà tức ngang",0
Thấy mn chê CĐATRĐ mà mh thấy nhạc cuốn mà,2
"Công Dương, Dương Domic, Phạm Anh Duy, Tage hay mag đỉnh lắm luôn á tr, sao hơi bị underated vậy",2
Hay là mời giám khảo có tính chuyên môn chấm được không? Chớ thấy điểm số xàm lông quá hết muốn xem,0
Erik làm tốt như thế mà sao thứ hạng lạ lùng ghê🥹,2
Chính ra tới tập này. Vũ thịnh vẫn đc bình chọn cao nè. Tới tập sau. Xếp 30 lun dù vào team top1. Nghĩ tội. Lỡ miệng 1 câu thành ra là mất nhiều quá.,1
Bài Team Isaac hay,2
Love anh Pháp chị Kiều ❤❤,2
Coi xong tập này muốn out Vũ Thịnh gk3 =)))),0
T muốn thấy Quang Hùng MasterD nhiều hơn,2
"Xem xong bài nào cũng hay nhưng trong quá trình xem thì cảm xúc khi xem nó kiểu nổi da gà wow😳 tài năng quá chất nha thì để lại ấn tượng là RHYDER nhất và caption thứ hai, Hiếu kiểu là công nhận rất tài năng cần có trong nhóm debut, tiết mục Eric cũng. Để lại ấn tượng hơn so với các bài còn lại",2
quá tr cái mỏ hỗn cua isaac va negav,0
"đừng loại ai hết loại khán giả dùm t, sẵn mời ban giám khảo chấm để tiễn mấy má khán giả vote ra chuồng gà lun cũng được",0
Quân AP❤🎉🎉🎉,2
Chương trình gì mà làm cho người ta khóc cảy cả mắttt😌,2
"🎉🎉🎉 những bài hát của anh trai say hai rất hay và đặc biệt, hi vọng chương trình này sẽ đạt được nhiều thành công và nổi bật hơn nữa 🎉",2
t xem lại lần 2 vẫn tức tại sao ngáo ngơ hạng tư mà ngân nga hạng 2:)),0
Cố lên team negav ơi mãi yêu ❤❤,2
Hùng Huỳnh của tui 😭😭😭,2
Sao lại gọi Hùng là gà v ạ😢,0
tập này RHYDER làm đội trưởng lo quá😢,0
Tại mấy anh mà tui k có học bài nổi . Rất tức giận 😡,0
"Cái bạn Tage sao phong cách mặt tướng cứ ngông ngông. Tập 5 này quay bắt nhiều cận cảnh đứng dưới khi mấy nhóm khác diễn, m tình cờ xem nhiều lần thấy mặt k có cảm tình nha. Lúc đứng đợi kết quả cũng vậy luôn mặt ai cũng thiện cảm dù m k biết hết tên k rành nhưng riêng b này kì kì sao á",0
Dù Tage Ko tiếp tục nhưng đã nổi bật nhất đoạn rap trong Thi Sĩ. Người làm bài hát ấn tượng nhất,2
"ờm mình k bt bản thân mình như nào , mỗi lần đến bài captain sáng tác mình lại thấy ngại và ko muốn nghe nó😢 . Dù sao captain cũng đã cố gắng ruii",1
"Thương TAGE cực, ảnh rap nghe đã tai vậy mà",2
Vừa vui vừa cười vừa buồn 🥲 khóc với trương trình này,1
10/10 đã phần nghe phần nhảy luôn ó❤❤,2
Tập chia tay buồn quá,0
cacs anh trai hôn nhau cứ phải gọi quoắn quéo hết lên =))) tú atus vs song luân hài vãi,2
"Anh Tú Atus tập này đỉnh từ visual tới giọng hát, mê anh này lắm",2
"Tiếc nhất a Lou Hoàng, a xứng đáng được đi sâu nhiều hơn nữa, làm nhạc giỏi, sống tình cảm, thông minh hài hước",2
"Ủng hộ đội trưởng anh tú, cap và hải đăng doo ❤❤❤",2
"Số 10 cố lên , em tin anh",2
anh Quang Trung hiền với dễ thương quó ò,2
tiếc anh dương domic ghê,0
Trò cuối khó hiểu gê. Dân khối A mà t ngu dữ,0
Team bác Isaac cháy quá 🔥🔥🔥,2
Đúng là con cưng vie issac lúc nào cũng nằm top đầu,2
Chán quá ko có hùng huỳnh,0
"chương trình hiểu tâm lý người xem quá huhu, mình xem cứ mong đợi là có phần nhảy của ban giám khảo, ai ngờ có thiể trời oiii, nó đãaaaaaa",1
Mẹ 2 con mà mê HTH quá thôi Vừa giỏi vừa tử tế. Xin vía cho con trai❤❤,2
1 Darling như em thật sự rất cảm ơn chương trình vì đã phần nào giúp em biết đến anh Gấu. Và cũng cảm ơn anh Hùng Huỳnh Gemini vì đã xuất hiện trong thanh xuân tươi đẹp của em. Đây chỉ mới là khởi đầu cho 1 hành trình rực rỡ của anh. Và em sẽ luôn là 1 Darling mãi ủng hộ anh và suport anh hết mình. Yêu thương anh rất rất nhiều. Darling tự hào về anh.,2
"35:29 lúc ông Dương ổng la “tay, tay, tay” á xong ae trong hội trường cũng đứng lên giơ tay theo. Thực sự là respect tình cảm mà họ dành cho nhau cũng như luôn ủng hộ nhau luôn á. Tui cứ tua đi tua lại❤",2
Ổng chả thi mà ổng cũng gáy quá atuss,2
Oi bài ngáo ngơ dễ thương quá mọi người ơi,2
Hôm nay 4 bài thôi để tuần sau nx 😢😢,0
coi khóc mà t tưởng bị bồ đá k á,1
Chơi rèm quang trung ngu,0
Ko thjk Vũ thịnh lắm vì nhiều lúc ẽm nói chuyện hơi lố.Nhưng mà phai công nhận tập này VT nhảy tốt và cô gắng nhiều,0
"ở vòng2 Atus đã thử đc VT rồi, nếu cược 999 ở vòng3 thì 2 đội hoà rồi. Tiếc cho Atus.",1
Ê cái nhóm don’t care k ấn tượng gì cả 😒. 10/10 xứng đáng top 2 ấy chứ,0
Nay HIEUTHUHAI quăng miếng nhìu quá nek,2
❤Team❤SL❤ ATUS ❤ ✓^_^✓Visual ✓đỉnh quá^•^❤❤❤❤❤❤❤❤❤❤,2
sao đoạn biểu diễn cùng khách mời bị cut rồi mng ơi😢,0
"Anh trai nào cũng cố gắng hết mình, nên đừng kiu đổi anh này đổi anh kia mấy b ơi, ai loại cũng buồn cũng thương hết, ct nó sắp hết rồi, là do hông phải gà nhà nó nên không giữ lại thôi",1
"À shop ơi, này battle dance chứ ko phải nhảy tóp tóp mà cắt rồi hiệu ứng các thứ 😢",0
Tr ơi Nicky vs Công Dương 😢 tiếc ơi là tiếc,1
Mk mong chờ trong 2 bài sẽ có 1 bài Quang Hùng sáng tác màu của Hùng mà ko thấy hơi thất vọng nhẹ nha ..... Ý kiến riêng thui ạ,1
Đáng ra Negav phải hát nhiều hơn giọng quá ngọt đii 😭😭team Khang xứng đáng top 1 😭😭,2
Phải gọi là đỉnh chứ đùa :3,2
có mấy bạn ngộ lắm nha tự nhiên kêu hiến tế vũ thịnh đổi lấy công dương nói mà hk suy nghĩ à người ta team thắng ch nói bạn nói z cx làm cho vũ thịnh buồn chứ ngta đã cố gắng trong live stage 2 như z,1
Còn 20% thui 😢😢😢 Vẫn xem,1
bài catch me thấy ai cũng khen mà cuối cùng hạng 4 hong hỉu luôn :)),0
Mong từng ngày xem atus nè,2
Atus cố lên vì 10/10,2
"Erik xứng đáng dc debut. ,09",2
Team 2 KHANG điểm danh đeeeeeee 🎉🎉🎉,2
Thích Team Ryder nhưng hiểu vì sao top4 rồi. Vì thực sự cảm thấy nó k có gì bứt phá ấy,0
Mê Atus qua❤❤😂😂,2
Bài kpkg tui thich giọng của kang thoi ezzz,2
Team Quân AP đỉnh nhen,2
Isaac mãi đỉnh. Xem coi đã Hít drama ❤,2
Mừng quá HTH. Hạng 3. Cung. Dc tronmg TOP 3/6 là ok.,2
uầy vocal của hùng hay thật sự top1 longgg tuiii,2
Thương gin tuấn kiệt ghê a về mà tươi quá thôi về vs cục vk thôi nhé,2
"Team nào có HTH mà thắng hoặc lọt top thì bảo là ưu ái, thua thì bảo là chơi dở k có tư duy. Bảo được thế thì tôi chịu rồi đây",0
"Mình coi chương trình là vì có trấn Thành, nhưng chương trình này rất là hay",2
Tage ở dơ vậy tr còn cố tỏ ra gồng tưởng v là ngầu,0
yêu Wean lắm,2
Hùng Huỳnh đỉnhhh lắm,2
Bùn cho team Song Luân còn có 0 điểm 😢,0
anh Hùng Huỳnh nhảy đẹp quáaa 😭🤍,2
Đội anh Song Luân đáng lo nha,0
"Tội Doo, không sảy ra sự cố ổng còn xuất sắc ác luôn",2
tr oi k có ngờ bài đố em bắt đc anh đội sổ luôn á đang top1 trending mà sao giống kiểu bài nào đội sổ thì leo top v ha,1
"Tập này chê Issac lắm luôn á, nói gì k lọt lỗ tai luôn, lúc k chọn Kiều hay chọn Hurry vs thắng đc điểm là đổ qua Gin vs Negav liền😢",0
"Hùng Huỳnh làm rất tốt rồi anh ơi, cố lên, Darling tự hào về anh ♡",2
"Nói về độ bức phá và bước ra vùng an toàn nhất thì t ấn tượng Quân AP, Ali, Quang Trung, Pháp Kiều nhất❤",2
Ủa. Sao bảo đội hạng 2 chỉ loại 1 người. Mà đội atus lại có 2 người bị loại nhỉ?😢,0
Chuong trình wa hay 👍👍👍,2
"Mình coi và giữ trong lòng đi các bạn ơi. Chứ format cho khán giả trường quay bình chọn thì các bạn trông chờ gì ở kết quả chứ! Bản thân mình 10/10 nhóm hài như Atus nói ban đầu mà diễn như vậy là quá xuất sắc...chiến thắng lớn nhất là chiến thắng trong lòng khán giả các bạn à. Nhóm nào cũng cố gắng, ai cũng xứng đáng cả!",2
Hiếu thứ 2 làm bài nào mình thấy hay bài đấy,2
❤❤❤quang trung❤❤❤❤,2
Tiếc cho Phạm Anh Duy và Tage quá 🥹,1
Don Care hay❤,2
Dương domic hát hay quáa ạa team atus đỉnh quá❤,2
Bài của Anh Tú hay quá trời 😍😍😍😍😍😍😍. Giọng hát tuyệt quá.,2
Anh Tú tút mlem mlem 😋 10/10 top 1 thẳng tiến ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,2
love sand hay that su luonnn,2
Mê wean quá trời,2
"Ko có theo dõi Captain và Rhyder mà ko ngờ hai anh thân thiết như vị á, tui thấy Rhyder lúc tưởng Captain bị loại và sau khi biết Cap ko bị loại, Rhyder mừng ôm Captain tình củm quá tr ui, anh em thân thiết gke á 😊❤",2
Team ngáo ngơ atus mãi đỉnh,2
Có ai đang xem lại k.nhớ tất cả 31 anh trai đặc biệt là Negav 😢,2
